Have a Nice Day10,WiFire1,CLBW-Mobitel-HUAWEI-CC008,UoM_Wireless11,No_of_P
-38,-58,-66,-100,5
-48,-58,-61,-100,5
-53,-53,-57,-79,0
-42,-61,-59,-100,5
-38,-62,-69,-100,5
-53,-40,-70,-100,1
-53,-59,-65,-100,5
-55,-54,-55,-100,0
-52,-51,-57,-100,0
-62,-50,-72,-82,1
-52,-59,-60,-100,5
-54,-54,-53,-77,0
-52,-54,-57,-100,0
-38,-59,-58,-100,5
-51,-49,-58,-88,0
-61,-49,-62,-100,1
-53,-43,-60,-100,0
-61,-38,-65,-80,1
-53,-54,-60,-100,1
-40,-58,-63,-100,5
-53,-58,-56,-100,5
-60,-48,-63,-100,1
-54,-58,-68,-100,5
-52,-55,-57,-100,1
-42,-54,-59,-100,1
-59,-59,-66,-100,5
-50,-60,-59,-100,5
-39,-60,-55,-100,5
-41,-56,-64,-100,1
-52,-52,-63,-100,0
-40,-58,-58,-100,5
-41,-58,-58,-100,5
-41,-52,-59,-100,1
-49,-62,-67,-100,5
-55,-52,-55,-100,0
-39,-58,-65,-100,5
-59,-40,-70,-79,1
-53,-54,-58,-100,0
-62,-40,-71,-100,1
-53,-52,-57,-100,0
-67,-40,-69,-100,1
-49,-59,-57,-100,5
-52,-59,-60,-100,5
-55,-53,-58,-100,0
-53,-51,-57,-100,1
-52,-54,-57,-100,1
-40,-58,-57,-100,5
-57,-47,-59,-87,1
-54,-53,-59,-100,0
-39,-58,-65,-88,5
-60,-38,-62,-100,1
-56,-54,-59,-100,0
-55,-54,-56,-100,0
-54,-41,-63,-100,1
-38,-58,-68,-100,5
-58,-40,-68,-80,1
-51,-62,-68,-100,5
-59,-47,-69,-100,1
-54,-53,-54,-100,0
-52,-60,-63,-92,5
-52,-48,-60,-100,0
-66,-55,-59,-100,1
-40,-60,-56,-100,5
-41,-60,-67,-100,5
-50,-60,-71,-100,5
-43,-43,-58,-87,0
-59,-41,-69,-82,1
-41,-54,-59,-87,1
-55,-58,-67,-100,5
-54,-54,-57,-77,0
-53,-51,-56,-100,0
-40,-59,-58,-100,5
-52,-52,-62,-100,0
-55,-51,-67,-100,0
-62,-40,-64,-100,1
-48,-59,-58,-100,5
-50,-58,-64,-88,5
-52,-53,-63,-100,0
-55,-52,-56,-88,0
-51,-52,-59,-100,0
-39,-60,-65,-100,5
-39,-72,-57,-100,5
-42,-53,-59,-100,1
-53,-53,-60,-90,0
-42,-61,-64,-88,5
-43,-53,-61,-100,0
-50,-62,-68,-100,5
-52,-52,-57,-100,0
-53,-52,-57,-100,0
-55,-59,-66,-100,5
-61,-41,-67,-81,1
-54,-54,-57,-78,0
-40,-58,-58,-100,5
-40,-58,-70,-100,5
-49,-63,-56,-100,5
-52,-52,-61,-92,0
-40,-59,-68,-100,5
-62,-39,-65,-100,1
-58,-47,-68,-82,1
-42,-59,-65,-100,5
-39,-59,-57,-100,5
-54,-52,-59,-100,0
-41,-52,-56,-100,1
-55,-50,-62,-100,0
-39,-62,-64,-100,5
-61,-41,-73,-100,1
-64,-38,-68,-82,1
-51,-47,-66,-87,1
-53,-53,-60,-100,0
-54,-55,-57,-100,0
-53,-53,-58,-100,0
-52,-51,-57,-100,0
-53,-53,-56,-100,0
-39,-59,-59,-100,5
-40,-59,-66,-100,5
-40,-58,-65,-100,5
-53,-53,-59,-100,0
-53,-53,-55,-79,0
-44,-51,-56,-100,0
-40,-52,-65,-100,1
-54,-52,-64,-100,0
-50,-58,-71,-100,5
-57,-59,-59,-100,5
-63,-49,-78,-82,1
-52,-52,-63,-93,0
-59,-60,-62,-100,5
-54,-48,-60,-100,1
-52,-52,-64,-100,0
-60,-41,-64,-100,1
-52,-50,-59,-100,0
-50,-54,-62,-100,1
-52,-44,-58,-100,0
-56,-60,-59,-100,5
-42,-54,-60,-100,1
-43,-50,-60,-100,0
-53,-54,-56,-79,0
-53,-52,-56,-94,0
-62,-49,-66,-100,1
-57,-61,-70,-100,5
-52,-61,-60,-100,5
-51,-53,-56,-100,0
-49,-59,-59,-100,5
-49,-59,-60,-100,5
-41,-52,-54,-100,1
-53,-55,-54,-78,0
-59,-39,-68,-100,1
-53,-53,-62,-100,0
-49,-60,-66,-100,5
-41,-61,-62,-100,5
-38,-61,-71,-100,5
-58,-59,-57,-90,5
-53,-53,-58,-78,0
-65,-53,-63,-100,1
-51,-54,-56,-100,0
-52,-38,-62,-80,1
-54,-54,-56,-100,0
-55,-54,-56,-100,0
-54,-59,-60,-100,5
-58,-58,-57,-100,5
-56,-55,-57,-80,0
-42,-53,-64,-89,1
-38,-57,-57,-100,5
-42,-54,-62,-100,1
-49,-60,-54,-100,5
-62,-48,-70,-100,1
-52,-53,-58,-100,0
-35,-58,-65,-100,5
-53,-52,-54,-96,0
-40,-61,-56,-100,5
-52,-51,-58,-87,0
-50,-54,-61,-100,1
-59,-39,-65,-83,1
-35,-72,-69,-100,5
-60,-46,-64,-79,1
-53,-52,-62,-100,0
-43,-54,-59,-100,1
-62,-40,-64,-91,1
-51,-53,-56,-87,0
-52,-52,-59,-100,0
-54,-53,-52,-100,0
-36,-59,-66,-100,5
-61,-40,-66,-100,1
-40,-59,-67,-100,5
-42,-53,-67,-100,1
-61,-41,-64,-100,1
-56,-40,-61,-83,1
-60,-48,-69,-79,1
-50,-58,-57,-100,5
-53,-53,-57,-100,0
-53,-59,-59,-100,5
-53,-54,-55,-77,0
-54,-51,-57,-88,0
-52,-52,-57,-91,0
-50,-60,-66,-100,5
-53,-55,-56,-79,0
-60,-48,-68,-81,1
-62,-41,-70,-100,1
-55,-52,-62,-90,0
-44,-53,-61,-100,0
-41,-61,-61,-100,5
-49,-59,-58,-100,5
-57,-39,-69,-82,1
-48,-62,-70,-100,5
-55,-53,-57,-100,0
-50,-59,-66,-100,5
-54,-40,-70,-79,1
-40,-59,-64,-100,5
-40,-61,-63,-91,5
-44,-52,-59,-100,0
-42,-58,-58,-100,5
-62,-42,-71,-81,1
-38,-59,-70,-100,5
-50,-60,-65,-100,5
-61,-41,-68,-81,1
-50,-59,-59,-100,5
-38,-58,-56,-100,5
-44,-52,-57,-100,0
-63,-39,-65,-100,1
-54,-54,-55,-100,0
-61,-40,-68,-100,1
-55,-55,-57,-100,0
-39,-59,-69,-90,5
-41,-59,-55,-100,5
-53,-54,-55,-100,0
-53,-55,-58,-83,0
-62,-48,-68,-81,1
-60,-48,-69,-81,1
